date,star_change,fork_change
2016/05/26  0:00,23.0,5.0
2016/05/27  0:00,20.0,3.0
2016/05/28  0:00,8.0,1.0
2016/05/29  0:00,13.0,6.0
2016/05/30  0:00,6.0,3.0
2016/05/31  0:00,20.0,1.0
2016/06/02  0:00,65.0,25.0
2016/06/03  0:00,28.0,6.0
2016/06/05  0:00,34.0,7.0
2016/06/06  0:00,22.0,3.0
2016/06/07  0:00,84.0,5.0
2016/06/08  0:00,22.0,3.0
2016/06/09  0:00,46.0,12.0
2016/06/10  0:00,20.0,0.0
2016/06/11  0:00,18.0,4.0
2016/06/12  0:00,15.0,5.0
2016/06/13  0:00,30.0,6.0
2016/06/14  0:00,48.0,6.0
2016/06/15  0:00,34.0,6.0
2016/06/16  0:00,14.0,6.0
2016/06/17  0:00,15.0,5.0
2016/06/18  0:00,23.0,4.0
2016/06/19  0:00,2.0,3.0
2016/06/20  0:00,23.0,3.0
2016/06/21  0:00,70.0,10.0
2016/06/22  0:00,25.0,5.0
2016/06/23  0:00,19.0,6.0
2016/06/24  0:00,16.0,3.0
2016/06/25  0:00,19.0,2.0
2016/06/26  0:00,8.0,2.0
2016/06/27  0:00,28.0,4.0
2016/06/28  0:00,30.0,6.0
2016/06/29  0:00,40.0,6.0
2016/06/30  0:00,14.0,5.0
2016/07/01  0:00,36.0,5.0
2016/07/02  0:00,4.0,0.0
2016/07/03  0:00,23.0,3.0
2016/07/04  0:00,30.0,7.0
2016/07/05  0:00,17.0,5.0
2016/07/06  0:00,20.0,6.0
2016/07/07  0:00,25.0,2.0
2016/07/08  0:00,55.0,9.0
2016/07/09  0:00,23.0,7.0
2016/07/10  0:00,19.0,2.0
2016/07/11  0:00,54.0,6.0
2016/07/12  0:00,39.0,8.0
2016/07/13  0:00,68.0,10.0
2016/07/14  0:00,31.0,10.0
2016/07/15  0:00,22.0,6.0
2016/07/16  0:00,12.0,2.0
2016/07/17  0:00,25.0,2.0
2016/07/18  0:00,19.0,8.0
2016/07/19  0:00,21.0,7.0
2016/07/20  0:00,29.0,11.0
2016/07/21  0:00,30.0,6.0
2016/07/22  0:00,21.0,3.0
2016/07/24  0:00,28.0,9.0
2016/07/25  0:00,12.0,7.0
2016/07/26  0:00,14.0,5.0
2016/07/27  0:00,24.0,3.0
2016/07/28  0:00,42.0,7.0
2016/07/29  0:00,9.0,4.0
2016/08/01  0:00,33.0,4.0
2016/08/02  0:00,45.0,6.0
2016/08/03  0:00,24.0,-2.0
2016/08/04  0:00,42.0,4.0
2016/08/05  0:00,46.0,2.0
2016/08/06  0:00,10.0,3.0
2016/08/07  0:00,31.0,9.0
2016/08/08  0:00,27.0,7.0
2016/08/09  0:00,25.0,1.0
2016/08/10  0:00,19.0,1.0
2016/08/11  0:00,30.0,7.0
2016/08/12  0:00,11.0,1.0
2016/08/13  0:00,15.0,3.0
2016/08/14  0:00,6.0,5.0
2016/08/15  0:00,25.0,0.0
2016/08/16  0:00,16.0,2.0
2016/08/17  0:00,36.0,4.0
2016/08/18  0:00,23.0,4.0
2016/08/19  0:00,22.0,7.0
2016/08/21  0:00,41.0,5.0
2016/08/22  0:00,21.0,4.0
2016/08/23  0:00,20.0,1.0
2016/08/24  0:00,43.0,18.0
2016/08/25  0:00,35.0,2.0
2016/08/26  0:00,17.0,2.0
2016/08/27  0:00,5.0,2.0
2016/08/28  0:00,33.0,5.0
2016/08/29  0:00,31.0,4.0
2016/08/30  0:00,29.0,4.0
2016/08/31  0:00,37.0,6.0
2016/09/01  0:00,24.0,4.0
2016/09/02  0:00,11.0,1.0
2016/09/03  0:00,21.0,3.0
2016/09/05  0:00,63.0,6.0
2016/09/06  0:00,20.0,5.0
2016/09/07  0:00,20.0,3.0
2016/09/08  0:00,40.0,6.0
2016/09/09  0:00,39.0,12.0
2016/09/10  0:00,16.0,3.0
2016/09/11  0:00,19.0,6.0
2016/09/12  0:00,33.0,8.0
2016/09/13  0:00,40.0,2.0
2016/09/14  0:00,34.0,7.0
2016/09/15  0:00,63.0,2.0
2016/09/16  0:00,38.0,7.0
2016/09/17  0:00,10.0,2.0
2016/09/18  0:00,59.0,6.0
2016/09/19  0:00,41.0,2.0
2016/09/20  0:00,15.0,5.0
2016/09/21  0:00,37.0,7.0
2016/09/22  0:00,35.0,5.0
2016/09/23  0:00,35.0,2.0
2016/09/25  0:00,43.0,6.0
2016/09/26  0:00,50.0,7.0
2016/09/27  0:00,20.0,0.0
2016/09/28  0:00,38.0,6.0
2016/09/29  0:00,35.0,5.0
2016/09/30  0:00,43.0,3.0
2016/10/02  0:00,42.0,4.0
2016/10/03  0:00,9.0,0.0
2016/10/04  0:00,17.0,2.0
2016/10/05  0:00,38.0,5.0
2016/10/06  0:00,24.0,1.0
2016/10/07  0:00,38.0,10.0
2016/10/08  0:00,18.0,2.0
2016/10/09  0:00,18.0,4.0
2016/10/10  0:00,12.0,3.0
2016/10/11  0:00,72.0,6.0
2016/10/12  0:00,25.0,2.0
2016/10/13  0:00,56.0,9.0
2016/10/14  0:00,54.0,5.0
2016/10/15  0:00,23.0,2.0
2016/10/16  0:00,39.0,7.0
2016/10/17  0:00,35.0,10.0
2016/10/18  0:00,22.0,9.0
2016/10/19  0:00,56.0,11.0
2016/10/20  0:00,26.0,7.0
2016/10/21  0:00,24.0,6.0
2016/10/22  0:00,18.0,2.0
2016/10/23  0:00,29.0,4.0
2016/10/24  0:00,55.0,4.0
2016/10/25  0:00,45.0,6.0
2016/10/26  0:00,43.0,10.0
2016/10/27  0:00,34.0,0.0
2016/10/28  0:00,29.0,4.0
2016/10/30  0:00,49.0,5.0
2016/10/31  0:00,28.0,5.0
2016/11/01  0:00,24.0,6.0
2016/11/02  0:00,51.0,3.0
2016/11/03  0:00,53.0,-1.0
2016/11/04  0:00,65.0,10.0
2016/11/05  0:00,23.0,6.0
2016/11/06  0:00,42.0,7.0
2016/11/07  0:00,25.0,3.0
2016/11/08  0:00,43.0,6.0
2016/11/09  0:00,20.0,3.0
2016/11/10  0:00,33.0,6.0
2016/11/11  0:00,27.0,4.0
2016/11/12  0:00,19.0,2.0
2016/11/13  0:00,35.0,2.0
2016/11/14  0:00,34.0,6.0
2016/11/15  0:00,37.0,4.0
2016/11/16  0:00,61.0,17.0
2016/11/17  0:00,58.0,16.0
2016/11/18  0:00,31.0,0.0
2016/11/20  0:00,60.0,11.0
2016/11/21  0:00,27.0,2.0
2016/11/22  0:00,62.0,12.0
2016/11/23  0:00,51.0,8.0
2016/11/24  0:00,26.0,12.0
2016/11/25  0:00,30.0,6.0
2016/11/26  0:00,14.0,3.0
2016/11/27  0:00,30.0,6.0
2016/11/28  0:00,30.0,2.0
2016/11/29  0:00,34.0,6.0
2016/11/30  0:00,29.0,10.0
2016/12/01  0:00,36.0,3.0
2016/12/02  0:00,35.0,8.0
2016/12/03  0:00,14.0,3.0
2016/12/04  0:00,44.0,7.0
2016/12/05  0:00,28.0,3.0
2016/12/06  0:00,27.0,8.0
2016/12/07  0:00,27.0,5.0
2016/12/08  0:00,34.0,7.0
2016/12/09  0:00,25.0,1.0
2016/12/10  0:00,29.0,7.0
2016/12/11  0:00,7.0,4.0
2016/12/12  0:00,37.0,8.0
2016/12/13  0:00,14.0,4.0
2016/12/14  0:00,16.0,2.0
2016/12/15  0:00,127.0,6.0
2016/12/16  0:00,53.0,11.0
2016/12/17  0:00,5.0,0.0
2016/12/18  0:00,66.0,7.0
2016/12/19  0:00,43.0,9.0
2016/12/20  0:00,49.0,11.0
2016/12/21  0:00,24.0,9.0
2016/12/22  0:00,39.0,6.0
2016/12/23  0:00,20.0,2.0
2016/12/24  0:00,16.0,3.0
2016/12/26  0:00,36.0,8.0
2016/12/27  0:00,25.0,6.0
2016/12/28  0:00,23.0,6.0
2016/12/29  0:00,47.0,4.0
2016/12/30  0:00,40.0,4.0
2017/01/01  0:00,33.0,8.0
2017/01/02  0:00,7.0,1.0
2017/01/03  0:00,58.0,5.0
2017/01/04  0:00,26.0,7.0
2017/01/05  0:00,25.0,1.0
2017/01/06  0:00,38.0,5.0
2017/01/07  0:00,0.0,1.0
2017/01/08  0:00,25.0,5.0
2017/01/09  0:00,35.0,4.0
2017/01/10  0:00,41.0,7.0
2017/01/11  0:00,20.0,1.0
2017/01/12  0:00,49.0,6.0
2017/01/13  0:00,25.0,6.0
2017/01/14  0:00,21.0,1.0
2017/01/15  0:00,25.0,6.0
2017/01/16  0:00,26.0,6.0
2017/01/17  0:00,44.0,10.0
2017/01/18  0:00,45.0,8.0
2017/01/19  0:00,36.0,5.0
2017/01/20  0:00,32.0,8.0
2017/01/21  0:00,30.0,3.0
2017/01/22  0:00,31.0,2.0
2017/01/23  0:00,30.0,12.0
2017/01/24  0:00,32.0,1.0
2017/01/25  0:00,27.0,3.0
2017/01/26  0:00,28.0,3.0
2017/01/27  0:00,27.0,-4.0
2017/01/28  0:00,23.0,4.0
2017/01/29  0:00,23.0,1.0
2017/01/30  0:00,23.0,3.0
2017/01/31  0:00,40.0,2.0
2017/02/01  0:00,35.0,6.0
2017/02/02  0:00,97.0,10.0
2017/02/03  0:00,78.0,1.0
2017/02/04  0:00,18.0,2.0
2017/02/05  0:00,35.0,3.0
2017/02/06  0:00,70.0,10.0
2017/02/07  0:00,57.0,9.0
2017/02/08  0:00,53.0,0.0
2017/02/09  0:00,99.0,10.0
2017/02/10  0:00,101.0,11.0
2017/02/11  0:00,15.0,3.0
2017/02/13  0:00,93.0,6.0
2017/02/14  0:00,26.0,9.0
2017/02/15  0:00,67.0,6.0
2017/02/16  0:00,37.0,10.0
2017/02/17  0:00,31.0,8.0
2017/02/18  0:00,31.0,3.0
2017/02/19  0:00,64.0,10.0
2017/02/20  0:00,37.0,4.0
2017/02/21  0:00,40.0,4.0
2017/02/22  0:00,39.0,5.0
2017/02/23  0:00,72.0,10.0
2017/02/24  0:00,32.0,0.0
2017/02/25  0:00,22.0,-1.0
2017/02/26  0:00,33.0,7.0
2017/02/27  0:00,54.0,7.0
2017/02/28  0:00,59.0,7.0
2017/03/01  0:00,97.0,10.0
2017/03/02  0:00,91.0,7.0
2017/03/03  0:00,62.0,13.0
2017/03/04  0:00,26.0,3.0
2017/03/05  0:00,51.0,7.0
2017/03/06  0:00,61.0,-1.0
2017/03/07  0:00,68.0,3.0
2017/03/08  0:00,64.0,10.0
2017/03/09  0:00,168.0,17.0
2017/03/10  0:00,99.0,8.0
2017/03/11  0:00,38.0,2.0
2017/03/12  0:00,46.0,5.0
2017/03/13  0:00,39.0,7.0
2017/03/14  0:00,36.0,0.0
2017/03/15  0:00,87.0,15.0
2017/03/16  0:00,42.0,8.0
2017/03/17  0:00,30.0,8.0
2017/03/18  0:00,60.0,1.0
2017/03/19  0:00,34.0,4.0
2017/03/20  0:00,46.0,5.0
2017/03/21  0:00,50.0,3.0
2017/03/22  0:00,49.0,12.0
2017/03/23  0:00,92.0,8.0
2017/03/24  0:00,82.0,5.0
2017/03/25  0:00,22.0,4.0
2017/03/26  0:00,35.0,4.0
2017/03/27  0:00,40.0,3.0
2017/03/28  0:00,36.0,3.0
2017/03/29  0:00,81.0,13.0
2017/03/30  0:00,40.0,11.0
2017/03/31  0:00,63.0,8.0
2017/04/01  0:00,28.0,5.0
2017/04/02  0:00,45.0,7.0
2017/04/03  0:00,40.0,7.0
2017/04/04  0:00,32.0,4.0
2017/04/05  0:00,54.0,1.0
2017/04/06  0:00,60.0,8.0
2017/04/07  0:00,115.0,10.0
2017/04/09  0:00,103.0,13.0
2017/04/10  0:00,64.0,12.0
2017/04/11  0:00,59.0,8.0
2017/04/12  0:00,65.0,4.0
2017/04/13  0:00,87.0,12.0
2017/04/14  0:00,90.0,7.0
2017/04/15  0:00,48.0,7.0
2017/04/16  0:00,51.0,5.0
2017/04/17  0:00,62.0,16.0
2017/04/18  0:00,89.0,12.0
2017/04/19  0:00,40.0,11.0
2017/04/20  0:00,50.0,9.0
2017/04/21  0:00,44.0,7.0
2017/04/23  0:00,117.0,17.0
2017/04/24  0:00,42.0,5.0
2017/04/25  0:00,57.0,8.0
2017/04/26  0:00,55.0,7.0
2017/04/27  0:00,65.0,13.0
2017/04/28  0:00,42.0,5.0
2017/04/30  0:00,52.0,15.0
2017/05/01  0:00,38.0,3.0
2017/05/02  0:00,67.0,1.0
2017/05/03  0:00,45.0,6.0
2017/05/04  0:00,96.0,13.0
2017/05/05  0:00,77.0,7.0
2017/05/06  0:00,65.0,5.0
2017/05/07  0:00,54.0,4.0
2017/05/08  0:00,73.0,8.0
2017/05/09  0:00,57.0,0.0
2017/05/10  0:00,41.0,11.0
2017/05/11  0:00,47.0,6.0
2017/05/12  0:00,34.0,3.0
2017/05/14  0:00,68.0,12.0
2017/05/15  0:00,58.0,6.0
2017/05/16  0:00,76.0,8.0
2017/05/17  0:00,48.0,9.0
2017/05/18  0:00,58.0,9.0
2017/05/19  0:00,40.0,5.0
2017/05/20  0:00,20.0,1.0
2017/05/21  0:00,50.0,4.0
2017/05/22  0:00,45.0,10.0
2017/05/23  0:00,62.0,7.0
2017/05/24  0:00,58.0,4.0
2017/05/25  0:00,60.0,11.0
2017/05/26  0:00,39.0,0.0
2017/05/27  0:00,11.0,1.0
2017/05/28  0:00,53.0,6.0
2017/05/29  0:00,38.0,7.0
2017/05/30  0:00,29.0,7.0
2017/05/31  0:00,31.0,3.0
2017/06/01  0:00,48.0,3.0
2017/06/02  0:00,36.0,4.0
2017/06/03  0:00,27.0,9.0
2017/06/04  0:00,20.0,-1.0
2017/06/05  0:00,46.0,2.0
2017/06/06  0:00,32.0,8.0
2017/06/07  0:00,29.0,9.0
2017/06/08  0:00,57.0,10.0
2017/06/09  0:00,66.0,9.0
2017/06/11  0:00,82.0,9.0
2017/06/12  0:00,86.0,18.0
2017/06/13  0:00,63.0,11.0
2017/06/14  0:00,76.0,5.0
2017/06/15  0:00,99.0,7.0
2017/06/16  0:00,47.0,8.0
2017/06/17  0:00,43.0,9.0
2017/06/18  0:00,39.0,6.0
2017/06/19  0:00,41.0,11.0
2017/06/20  0:00,32.0,7.0
2017/06/21  0:00,41.0,7.0
2017/06/22  0:00,42.0,10.0
2017/06/23  0:00,25.0,6.0
2017/06/24  0:00,29.0,2.0
2017/06/25  0:00,31.0,3.0
2017/06/26  0:00,26.0,4.0
2017/06/27  0:00,55.0,11.0
2017/06/28  0:00,42.0,4.0
2017/06/29  0:00,40.0,5.0
2017/06/30  0:00,25.0,5.0
2017/07/01  0:00,15.0,1.0
2017/07/02  0:00,35.0,13.0
2017/07/03  0:00,32.0,7.0
2017/07/04  0:00,50.0,10.0
2017/07/05  0:00,45.0,6.0
2017/07/06  0:00,47.0,8.0
2017/07/07  0:00,47.0,3.0
2017/07/08  0:00,54.0,9.0
2017/07/09  0:00,30.0,7.0
2017/07/10  0:00,33.0,6.0
2017/07/11  0:00,83.0,6.0
2017/07/12  0:00,73.0,6.0
2017/07/13  0:00,68.0,9.0
2017/07/14  0:00,52.0,6.0
2017/07/15  0:00,8.0,2.0
2017/07/16  0:00,69.0,16.0
2017/07/17  0:00,31.0,3.0
2017/07/18  0:00,61.0,6.0
2017/07/19  0:00,35.0,4.0
2017/07/20  0:00,69.0,5.0
2017/07/21  0:00,43.0,2.0
2017/07/22  0:00,42.0,4.0
2017/07/23  0:00,22.0,5.0
2017/07/24  0:00,49.0,3.0
2017/07/25  0:00,44.0,2.0
2017/07/26  0:00,62.0,5.0
2017/07/27  0:00,71.0,16.0
2017/07/28  0:00,39.0,8.0
2017/07/30  0:00,47.0,8.0
2017/07/31  0:00,75.0,14.0
2017/08/01  0:00,42.0,9.0
2017/08/02  0:00,61.0,5.0
2017/08/03  0:00,52.0,3.0
2017/08/04  0:00,40.0,7.0
2017/08/05  0:00,42.0,4.0
2017/08/06  0:00,35.0,1.0
2017/08/07  0:00,50.0,10.0
2017/08/08  0:00,44.0,4.0
2017/08/09  0:00,38.0,6.0
2017/08/10  0:00,59.0,4.0
2017/08/11  0:00,80.0,13.0
2017/08/12  0:00,29.0,4.0
2017/08/13  0:00,37.0,5.0
2017/08/14  0:00,54.0,3.0
2017/08/15  0:00,57.0,10.0
2017/08/16  0:00,81.0,2.0
2017/08/17  0:00,82.0,12.0
2017/08/18  0:00,51.0,3.0
2017/08/19  0:00,28.0,10.0
2017/08/20  0:00,51.0,9.0
2017/08/21  0:00,42.0,6.0
2017/08/22  0:00,73.0,9.0
2017/08/23  0:00,53.0,9.0
2017/08/24  0:00,47.0,6.0
2017/08/25  0:00,67.0,17.0
2017/08/26  0:00,38.0,-2.0
2017/08/27  0:00,42.0,6.0
2017/08/28  0:00,51.0,6.0
2017/08/29  0:00,28.0,-2.0
2017/08/30  0:00,80.0,2.0
2017/08/31  0:00,61.0,8.0
2017/09/01  0:00,32.0,1.0
2017/09/03  0:00,59.0,6.0
2017/09/04  0:00,42.0,4.0
2017/09/05  0:00,43.0,1.0
2017/09/06  0:00,37.0,11.0
2017/09/07  0:00,82.0,13.0
2017/09/08  0:00,57.0,5.0
2017/09/09  0:00,21.0,3.0
2017/09/10  0:00,41.0,8.0
2017/09/11  0:00,56.0,6.0
2017/09/12  0:00,65.0,15.0
2017/09/13  0:00,80.0,12.0
2017/09/14  0:00,73.0,13.0
2017/09/15  0:00,79.0,5.0
2017/09/16  0:00,104.0,8.0
2017/09/17  0:00,78.0,8.0
2017/09/18  0:00,43.0,9.0
2017/09/19  0:00,84.0,17.0
2017/09/20  0:00,33.0,7.0
2017/09/21  0:00,62.0,12.0
2017/09/22  0:00,46.0,2.0
2017/09/23  0:00,29.0,11.0
2017/09/24  0:00,49.0,12.0
2017/09/25  0:00,53.0,1.0
2017/09/26  0:00,35.0,6.0
2017/09/27  0:00,76.0,14.0
2017/09/28  0:00,66.0,17.0
2017/09/29  0:00,31.0,5.0
2017/09/30  0:00,38.0,16.0
2017/10/01  0:00,28.0,1.0
2017/10/02  0:00,22.0,-2.0
2017/10/03  0:00,64.0,9.0
2017/10/04  0:00,22.0,2.0
2017/10/05  0:00,84.0,15.0
2017/10/06  0:00,64.0,8.0
2017/10/08  0:00,93.0,15.0
2017/10/09  0:00,81.0,14.0
2017/10/10  0:00,41.0,7.0
2017/10/11  0:00,203.0,24.0
2017/10/12  0:00,152.0,9.0
2017/10/13  0:00,147.0,22.0
2017/10/14  0:00,51.0,9.0
2017/10/15  0:00,101.0,3.0
2017/10/16  0:00,88.0,4.0
2017/10/17  0:00,108.0,7.0
2017/10/18  0:00,171.0,7.0
2017/10/19  0:00,132.0,13.0
2017/10/20  0:00,79.0,5.0
2017/10/21  0:00,33.0,12.0
2017/10/22  0:00,76.0,12.0
2017/10/23  0:00,75.0,6.0
2017/10/24  0:00,71.0,19.0
2017/10/25  0:00,98.0,10.0
2017/10/26  0:00,74.0,13.0
2017/10/27  0:00,76.0,12.0
2017/10/28  0:00,36.0,3.0
2017/10/29  0:00,88.0,15.0
2017/10/30  0:00,44.0,3.0
2017/10/31  0:00,61.0,8.0
2017/11/01  0:00,244.0,22.0
2017/11/02  0:00,109.0,10.0
2017/11/03  0:00,97.0,23.0
2017/11/04  0:00,32.0,6.0
2017/11/05  0:00,54.0,8.0
2017/11/06  0:00,66.0,5.0
2017/11/07  0:00,84.0,8.0
2017/11/08  0:00,110.0,13.0
2017/11/09  0:00,179.0,19.0
2017/11/10  0:00,129.0,10.0
2017/11/11  0:00,47.0,15.0
2017/11/12  0:00,89.0,11.0
2017/11/13  0:00,89.0,6.0
2017/11/14  0:00,79.0,9.0
2017/11/15  0:00,96.0,10.0
2017/11/16  0:00,99.0,5.0
2017/11/17  0:00,102.0,18.0
2017/11/18  0:00,65.0,11.0
2017/11/19  0:00,61.0,14.0
2017/11/20  0:00,115.0,8.0
2017/11/21  0:00,80.0,13.0
2017/11/22  0:00,111.0,13.0
2017/11/23  0:00,74.0,7.0
2017/11/24  0:00,119.0,10.0
2017/11/25  0:00,30.0,3.0
2017/11/26  0:00,53.0,6.0
2017/11/27  0:00,50.0,3.0
2017/11/28  0:00,61.0,13.0
2017/11/29  0:00,45.0,12.0
2017/11/30  0:00,77.0,12.0
2017/12/01  0:00,74.0,9.0
2017/12/02  0:00,58.0,10.0
2017/12/03  0:00,39.0,8.0
2017/12/04  0:00,35.0,5.0
2017/12/05  0:00,83.0,11.0
2017/12/06  0:00,73.0,17.0
2017/12/07  0:00,34.0,7.0
2017/12/08  0:00,77.0,18.0
2017/12/09  0:00,45.0,5.0
2017/12/10  0:00,17.0,4.0
2017/12/11  0:00,71.0,16.0
2017/12/12  0:00,78.0,13.0
2017/12/13  0:00,89.0,16.0
2017/12/14  0:00,93.0,4.0
2017/12/15  0:00,61.0,4.0
2017/12/17  0:00,112.0,14.0
2017/12/18  0:00,67.0,9.0
2017/12/19  0:00,68.0,6.0
2017/12/20  0:00,72.0,3.0
2017/12/21  0:00,98.0,12.0
2017/12/22  0:00,59.0,6.0
2017/12/23  0:00,43.0,5.0
2017/12/24  0:00,13.0,3.0
2017/12/25  0:00,27.0,4.0
2017/12/26  0:00,58.0,10.0
2017/12/27  0:00,94.0,9.0
2017/12/28  0:00,42.0,2.0
2017/12/29  0:00,67.0,4.0
2017/12/30  0:00,16.0,3.0
2017/12/31  0:00,11.0,4.0
2018/01/01  0:00,26.0,2.0
2018/01/02  0:00,52.0,9.0
2018/01/03  0:00,65.0,9.0
2018/01/04  0:00,48.0,2.0
2018/01/05  0:00,40.0,6.0
