date,ReviewComment
2016-01-16,65.0
2016-01-17,58.0
2016-01-18,86.0
2016-01-19,62.0
2016-01-20,40.0
2016-01-21,51.0
2016-01-22,15.0
2016-01-23,18.0
2016-01-24,23.0
2016-01-25,40.0
2016-01-26,29.0
2016-01-27,44.0
2016-01-28,45.0
2016-01-29,46.0
2016-01-30,31.0
2016-01-31,25.0
2016-02-01,44.0
2016-02-02,64.0
2016-02-03,49.0
2016-02-04,49.0
2016-02-05,57.0
2016-02-06,34.0
2016-02-07,30.0
2016-02-08,16.0
2016-02-09,47.0
2016-02-10,50.0
2016-02-11,29.0
2016-02-12,50.0
2016-02-13,30.0
2016-02-14,5.0
2016-02-15,36.0
2016-02-16,63.0
2016-02-17,37.0
2016-02-18,40.0
2016-02-19,50.0
2016-02-20,14.0
2016-02-21,62.0
2016-02-22,54.0
2016-02-23,25.0
2016-02-24,56.0
2016-02-25,53.0
2016-02-26,46.0
2016-02-27,52.0
2016-02-28,27.0
2016-02-29,38.0
2016-03-01,6.0
2016-03-02,86.0
2016-03-03,27.0
2016-03-04,8.0
2016-03-05,48.0
2016-03-06,3.0
2016-03-07,44.0
2016-03-08,79.0
2016-03-09,39.0
2016-03-10,16.0
2016-03-11,56.0
2016-03-12,4.0
2016-03-13,51.0
2016-03-14,27.0
2016-03-15,40.0
2016-03-16,20.0
2016-03-17,32.0
2016-03-18,26.0
2016-03-19,32.0
2016-03-20,22.0
2016-03-21,39.0
2016-03-22,29.0
2016-03-23,12.0
2016-03-24,44.0
2016-03-25,41.0
2016-03-26,21.0
2016-03-27,12.0
2016-03-28,28.0
2016-03-29,25.0
2016-03-30,10.0
2016-03-31,14.0
2016-04-01,31.0
2016-04-02,32.0
2016-04-03,30.0
2016-04-04,27.0
2016-04-05,4.0
2016-04-06,2.0
2016-04-07,1.0
2016-04-08,1.0
2016-04-09,0.0
2016-04-10,5.0
2016-04-11,3.0
2016-04-12,0.0
2016-04-13,0.0
2016-04-14,0.0
2016-04-15,0.0
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,1.0
2016-04-19,5.0
2016-04-20,1.0
2016-04-21,0.0
2016-04-22,0.0
2016-04-24,0.0
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,1.0
2016-05-03,2.0
2016-05-04,1.0
2016-05-05,3.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,2.0
2016-05-10,1.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,1.0
2016-05-18,1.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-13,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-25,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-02,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-10,4.0
2016-07-11,0.0
2016-07-14,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-08-02,0.0
2016-08-04,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-24,0.0
2016-08-30,0.0
2016-09-08,0.0
2016-09-10,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-10-07,0.0
2016-10-09,0.0
2016-10-11,0.0
2016-10-15,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-30,0.0
2016-11-02,0.0
2016-11-18,0.0
2016-11-27,0.0
2016-11-30,0.0
2016-12-06,0.0
